sentence1,sentence2,score,split,score_norm
Un avión está despegando.,Un avión está despegando.,5.0,train,1.0
Un avión está despegando.,Un aeroplano está despegando.,5.0,train,1.0
Un aeroplano está despegando.,Un aeroplano está despegando.,5.0,train,1.0
Un hombre está tocando una gran flauta.,Un hombre está tocando una flauta.,3.8,train,0.76
Un esposo está tocando una gran flauta.,Un hombre está tocando una flauta.,3.8,train,0.76
Un hombre está untando queso rallado en una pizza.,Un hombre está untando queso rallado en una pizza cruda.,3.8,train,0.76
Un marido está untando queso rallado en una pizza.,Un humanidad está untando queso rallado en una pizza cruda.,3.8,train,0.76
Un marido está untando queso rallado en una pizza.,Un esposo está untando queso rallado en una pizza cruda.,3.8,train,0.76
Tres hombres están jugando al ajedrez.,Dos hombres están jugando al ajedrez.,2.6,train,0.52
Un hombre está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.,4.25,train,0.85
Un hombre está tocando el violonchelo.,Un marido sentado está tocando el violonchelo.,4.25,train,0.85
Un marido está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.,4.25,train,0.85
Algunos hombres están luchando.,Dos hombres están luchando.,4.25,train,0.85
Un hombre está fumando.,Un hombre está patinando.,0.5,train,0.1
Un hombre está fumando.,Un varón está patinando.,0.5,train,0.1
El hombre está tocando el piano.,El hombre está tocando la guitarra.,1.6,train,0.32
El hombre está tocando el piano.,El humanidad está tocando la guitarra.,1.6,train,0.32
El varón está tocando el piano.,El mundo está tocando la guitarra.,1.6,train,0.32
Un hombre está tocando en una guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.,2.2,train,0.44
Un humanidad está tocando en una guitarra y cantando.,Una hembra adulta está tocando una guitarra acústica y cantando.,2.2,train,0.44
Una persona está lanzando un gato al techo.,Una persona lanza un gato al techo.,5.0,train,1.0
Una alma está lanzando un pájaro al cubierta.,Una alguien lanza un gato al tejado.,5.0,train,1.0
Una persona está lanzando un gato al techo.,Una individuo lanza un pájaro al techo.,5.0,train,1.0
El hombre golpeó al otro hombre con un palo.,El hombre golpeó al otro hombre con un palo.,4.2,train,0.8400000000000001
El mundo golpeó al otro hombre con un palo.,El mundo golpeó al otro marido con un stick.,4.2,train,0.8400000000000001
El hombre golpeó al otro mundo con un poste.,El hombre golpeó al otro marido con un poste.,4.2,train,0.8400000000000001
Una mujer recoge y sostiene un bebé canguro.,Una mujer coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Una hembra adulta recoge y sostiene un bebé canguro.,Una mujer coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Una hembra adulta recoge y sostiene un bebé canguro.,Una hembra adulta coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Un hombre está tocando una flauta.,Un hombre está tocando una flauta de bambú.,3.867,train,0.7734
Un hombre está tocando una flauta.,Un mundo está tocando una flauta de bambú.,3.867,train,0.7734
Un hombre está tocando una flauta.,Un hombre está tocando una flauta de género arundinaria.,3.867,train,0.7734
Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de papel.,4.667,train,0.9334
Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de línea.,4.667,train,0.9334
