sentence1,sentence2,score,split,score_norm
Un avión está despegando.,Un avión está despegando.,5.0,train,1.0
Un aeroplano está despegando.,Un avión está despegando.,5.0,train,1.0
Un hombre está tocando una gran flauta.,Un hombre está tocando una flauta.,3.8,train,0.76
Un varón está tocando una gran flauta.,Un marido está tocando una flauta.,3.8,train,0.76
Un hombre está untando queso rallado en una pizza.,Un hombre está untando queso rallado en una pizza cruda.,3.8,train,0.76
Un varón está untando queso rallado en una pizza.,Un esposo está untando queso rallado en una pizza cruda.,3.8,train,0.76
Tres hombres están jugando al ajedrez.,Dos hombres están jugando al ajedrez.,2.6,train,0.52
Un hombre está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.,4.25,train,0.85
Un mundo está tocando el violonchelo.,Un esposo sentado está tocando el violonchelo.,4.25,train,0.85
Algunos hombres están luchando.,Dos hombres están luchando.,4.25,train,0.85
Un hombre está fumando.,Un hombre está patinando.,0.5,train,0.1
Un marido está fumando.,Un hombre está patinando.,0.5,train,0.1
Un mundo está fumando.,Un hombre está patinando.,0.5,train,0.1
El hombre está tocando el piano.,El hombre está tocando la guitarra.,1.6,train,0.32
El humanidad está tocando el piano.,El hombre está tocando la guitarra.,1.6,train,0.32
Un hombre está tocando en una guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.,2.2,train,0.44
Un marido está tocando en una guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.,2.2,train,0.44
Un hombre está tocando en una guitarra y cantando.,Una hembra adulta está tocando una guitarra acústica y cantando.,2.2,train,0.44
Una persona está lanzando un gato al techo.,Una persona lanza un gato al techo.,5.0,train,1.0
Una persona está lanzando un gato al tejado.,Una alguno lanza un felis silvestris catus al cubierta.,5.0,train,1.0
Una alguno está lanzando un gata al techo.,Una alguno lanza un gato al cubierta.,5.0,train,1.0
El hombre golpeó al otro hombre con un palo.,El hombre golpeó al otro hombre con un palo.,4.2,train,0.8400000000000001
El hombre golpeó al otro hombre con un poste.,El marido golpeó al otro hombre con un palo.,4.2,train,0.8400000000000001
El marido golpeó al otro hombre con un vara.,El hombre golpeó al otro esposo con un lata.,4.2,train,0.8400000000000001
Una mujer recoge y sostiene un bebé canguro.,Una mujer coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Una mujer recoge y sostiene un bebé canguro.,Una hembra adulta coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Una hembra adulta recoge y sostiene un bebé canguro.,Una hembra adulta coge y sostiene un bebé canguro en sus brazos.,4.6,train,0.92
Un hombre está tocando una flauta.,Un hombre está tocando una flauta de bambú.,3.867,train,0.7734
Un marido está tocando una flauta.,Un marido está tocando una flauta de bambú.,3.867,train,0.7734
Un esposo está tocando una flauta.,Un hombre está tocando una flauta de arundinaria.,3.867,train,0.7734
Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de papel.,4.667,train,0.9334
Una ser humano está doblando un trozo de papel.,Alguien está doblando un pedazo de función.,4.667,train,0.9334
Una alguien está doblando un pizca de papel.,Persona está doblando un pedazo de línea.,4.667,train,0.9334
Un hombre está corriendo en la carretera.,Un perro panda está corriendo en la carretera.,1.667,train,0.3334
Un mundo está corriendo en la carretera.,Un can pandilla está corriendo en la carretera.,1.667,train,0.3334
Un esposo está corriendo en la autopista.,Un perro panda está corriendo en la autopista.,1.667,train,0.3334
Un perro está tratando de quitarse el tocino de encima.,Un perro está tratando de comerse el tocino de su espalda.,3.75,train,0.75
Un can está tratando de quitarse el tocino de encima.,Un perro está tratando de anotar el tocino de su columna vertebral.,3.75,train,0.75
El oso polar se está deslizando en la nieve.,Un oso polar se está deslizando por la nieve.,5.0,train,1.0
El oso polar se está deslizando en la nieve.,Un oso polar se está deslizando por la blanca nieves.,5.0,train,1.0
El oso polar se está deslizando en la caramelo.,Un ursidae polar se está deslizando por la blanca nieves.,5.0,train,1.0
Una mujer está escribiendo.,Una mujer está nadando.,0.5,train,0.1
Una hembra adulta está escribiendo.,Una hembra adulta está nadando.,0.5,train,0.1
Una mujer está escribiendo.,Una hembra adulta está nadando.,0.5,train,0.1
Un gato se está frotando contra la cara del bebé.,Un gato se está frotando contra un bebé.,3.8,train,0.76
Un gato se está frotando contra la cara del bebé.,Un felis silvestris catus se está frotando contra un bebé.,3.8,train,0.76
Un gata se está frotando contra la osadía del bebé.,Un gata se está frotando contra un bebé.,3.8,train,0.76
El hombre está montando a caballo.,Un hombre está montando a caballo.,5.0,train,1.0
El hombre está montando a caballo.,Un humanidad está montando a heroína.,5.0,train,1.0
Un hombre vierte aceite en una olla.,Un hombre vierte vino en una olla.,3.2,train,0.64
Un marido vierte aceite en una olla.,Un varón vierte vino en una olla.,3.2,train,0.64
Un hombre está tocando una guitarra.,Una chica está tocando una guitarra.,2.8,train,0.5599999999999999
Un hombre está tocando una guitarra.,Una jovencita está tocando una guitarra.,2.8,train,0.5599999999999999
Un humanidad está tocando una guitarra.,Una señorita está tocando una guitarra.,2.8,train,0.5599999999999999
Un panda se está deslizando por un tobogán.,Un panda se desliza por un tobogán.,4.6,train,0.92
Un pandilla se está deslizando por un tobogán.,Un panda se desliza por un tobogán.,4.6,train,0.92
Un panda se está deslizando por un tobogán.,Un pandilla se desliza por un tobogán.,4.6,train,0.92
Una mujer está comiendo algo.,Una mujer está comiendo carne.,3.0,train,0.6
Una hembra adulta está comiendo algo.,Una hembra adulta está comiendo figura.,3.0,train,0.6
Una hembra adulta está comiendo algo.,Una mujer está comiendo carne.,3.0,train,0.6
Una mujer pela una patata.,Una mujer está pelando una patata.,5.0,train,1.0
Una hembra adulta pela una conejo.,Una hembra adulta está pelando una almeja.,5.0,train,1.0
Una hembra adulta pela una patata.,Una hembra adulta está pelando una patata.,5.0,train,1.0
El chico se cayó de su bicicleta.,Un chico se cae de su bicicleta.,4.8,train,0.96
El chico se cayó de su bicicleta.,Un mozalbete se cae de su bicicleta.,4.8,train,0.96
El niño varón se cayó de su bicicleta.,Un niño varón se cae de su bicicleta.,4.8,train,0.96
La mujer está tocando la flauta.,Una mujer está tocando una flauta.,5.0,train,1.0
La hembra adulta está tocando la flauta.,Una hembra adulta está tocando una flauta.,5.0,train,1.0
La mujer está tocando la flauta.,Una hembra adulta está tocando una flauta.,5.0,train,1.0
Un conejo está huyendo de un águila.,Una liebre está huyendo de un águila.,4.2,train,0.8400000000000001
Un chichi está huyendo de un águila.,Una liebre está huyendo de un águila.,4.2,train,0.8400000000000001
La mujer está friendo una chuleta de cerdo empanizada.,Una mujer está cocinando una chuleta de cerdo empanizada.,4.2,train,0.8400000000000001
La hembra adulta está friendo una chuleta de cerdo empanizada.,Una hembra adulta está cocinando una chuleta de cerdo empanizada.,4.2,train,0.8400000000000001
Una chica está volando una cometa.,Una chica corriendo está volando una cometa.,4.0,train,0.8
Una novia está volando una cometa.,Una chica corriendo está volando una cometa.,4.0,train,0.8
Un hombre está montando un toro mecánico.,Un hombre montaba un toro mecánico.,4.0,train,0.8
Un hombre está montando un toro mecánico.,Un varón montaba un toro mecánico.,4.0,train,0.8
Un hombre está montando un toro mecánico.,Un esposo montaba un toro mecánico.,4.0,train,0.8
El hombre está tocando la guitarra.,Un hombre está tocando una guitarra.,4.909,train,0.9818
Una mujer está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la lluvia.,3.0,train,0.6
Una hembra adulta está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la chaparrón.,3.0,train,0.6
Una hembra adulta está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la lluvia.,3.0,train,0.6
Un hombre está cortando un bollo.,Un hombre está cortando una cebolla.,2.4,train,0.48
Un hombre está cortando un bollo.,Un marido está cortando una cebolla.,2.4,train,0.48
Un hombre está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,4.2,train,0.8400000000000001
Un marido está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,4.2,train,0.8400000000000001
Un esposo está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,4.2,train,0.8400000000000001
Un león está jugando con la gente.,Un león está jugando con dos hombres.,3.4,train,0.6799999999999999
Un panthera leo está jugando con la gente.,Un león está jugando con dos hombres.,3.4,train,0.6799999999999999
Un león está jugando con la gente.,Un panthera leo está jugando con dos hombres.,3.4,train,0.6799999999999999
Un perro monta un monopatín.,Un perro está montando un monopatín.,5.0,train,1.0
Un can monta un monopatín.,Un can está montando un monopatín.,5.0,train,1.0
Alguien está tallando una estatua.,Un hombre está tallando una estatua.,3.75,train,0.75
Mortal está tallando una estatua.,Un varón está tallando una estatua.,3.75,train,0.75
Alguien está tallando una estatua.,Un hombre está tallando una figura.,3.75,train,0.75
Una mujer está cortando una cebolla.,Un hombre está cortando una cebolla.,2.75,train,0.55
Una hembra adulta está cortando una cebolla.,Un mundo está cortando una cebolla.,2.75,train,0.55
Una hembra adulta está cortando una cebolla.,Un esposo está cortando una cebolla.,2.75,train,0.55
Una mujer pela camarones.,Una mujer está pelando camarones.,5.0,train,1.0
Una hembra adulta pela camarones.,Una mujer está pelando camarones.,5.0,train,1.0
Una hembra adulta pela camarones.,Una hembra adulta está pelando camarones.,5.0,train,1.0
Una mujer está friendo pescado.,Una mujer está cocinando pescado.,4.0,train,0.8
Una hembra adulta está friendo pescado.,Una hembra adulta está cocinando pescado.,4.0,train,0.8
Una mujer está tocando una guitarra eléctrica.,Una mujer está tocando una guitarra.,3.6,train,0.72
Una hembra adulta está tocando una guitarra eléctrica.,Una hembra adulta está tocando una guitarra.,3.6,train,0.72
Un tigre bebé está jugando con una pelota.,Un bebé está jugando con una muñeca.,1.6,train,0.32
Un tigre bebé está jugando con una smoothie.,Un bebé está jugando con una muñeca.,1.6,train,0.32
Un tigre bebé está jugando con una balón.,Un bebé está jugando con una tía.,1.6,train,0.32
