node,context,method,branch,response,matching_text,score,threshold,difference
Scene1Classroom.part2,Laura me ha saludado. Ahora me toca responder.,lstm,friendly,burnos dias ,"Holaaa buenas, soy cris, acabo de llegar y estoy todavía un poco perdido, y tú?",0.31477296352386475,0.52,0.20522703647613527
Scene1Bedroom2.computer,"<harasser, Pablo, Lucía> me ha dicho que hoy ha estado <harasser, enfermo, enferma>. Me pregunto cómo se encontrará.",lstm,ask2,cuidate,"Ay pobre, dormiste mal o algo?",0.11603830009698868,0.52,0.40396169990301134
Scene1Bedroom2.computer,"<harasser, Pablo, Lucía> me ha dicho que hoy ha estado <harasser, enfermo, enferma>. Me pregunto cómo se encontrará.",lstm,ask2,recuperate,"Ay pobre, dormiste mal o algo?",0.5153499841690063,0.52,0.00465001583099367
Scene1Bedroom2.computer,"<harasser, Pablo, Lucía> me ha dicho que hoy ha estado <harasser, enfermo, enferma>. Me pregunto cómo se encontrará.",lstm,ask2,me alegro que estes bien ,"Ahh, me alegra que estés mejor",0.49400001764297485,0.52,0.025999982357025164
Scene1Bedroom2.computer,"<harasser, Pablo, Lucía> me ha dicho que hoy ha estado <harasser, enfermo, enferma>. Me pregunto cómo se encontrará.",lstm,ask2,mejorate,"Espero que te mejores pronto. Si necesitas ayuda con la tarea, me dices.",0.2841568887233734,0.52,0.2358431112766266
Scene1Bedroom2.computer,"<harasser, Pablo, Lucía> me ha dicho que hoy ha estado <harasser, enfermo, enferma>. Me pregunto cómo se encontrará.",lstm,noAsk2,que bien,Que raro bueno ya estas bien xddd,0.4721447825431824,0.52,0.047855217456817645
Scene3Bedroom.main,"<harasser, Pablo, Lucía> me pregunta cuánto me ha gustado el vídeo.",lstm,liked2,a medias,"Bastante, no sé le da mal jajaja. Y a ti??",0.16249999403953552,0.52,0.3575000059604645
Scene3Bedroom.main,"<harasser, Pablo, Lucía> me pregunta cuánto me ha gustado el vídeo.",lstm,liked2,siiiiiiiiiiii,Bro siempre pienso que no puede superarse y siempre hace algo mejor,0.2841568887233734,0.52,0.2358431112766266
Scene3Bedroom.main,"<harasser, Pablo, Lucía> me pregunta cuánto me ha gustado el vídeo.",lstm,liked2,"no, la verdad era un poco malo",Bro siempre pienso que no puede superarse y siempre hace algo mejor,0.46454545855522156,0.52,0.05545454144477846
Scene4Garage.photo,Paula me ha preguntado si conoce a quien voy a enviar la foto.,lstm,truth2,sii,No,0.3615851104259491,0.52,0.15841488957405092
Scene4Bedroom.phone,"Me apetece hablar con <harasser, Pablo, Lucía> antes de dormir. Debería saludarle.",lstm,msg3,descansa hasta mapana,"Ya acabo la fiesta, que tal tu noche?",0.42516717314720154,0.52,0.09483282685279848
Scene4Bedroom.phone,"Me apetece hablar con <harasser, Pablo, Lucía> antes de dormir. Debería saludarle.",lstm,msg3,nuwnas noches,"Holaaa, que tall?",0.2841568887233734,0.52,0.2358431112766266
Scene6LunchRouteB.phone,"Deberia preguntar a <harasser, Pablo, Lucía> si sigue <harasser, enfadado, enfadada> por lo del otro dia.",lstm,msg2,como estas,"Hola Lucía, qué tal estás? No quiero que estés enfadada, y me preocupa la discusión del otro día... Podemos hablarlo?",0.2841568887233734,0.52,0.2358431112766266
Scene6LunchRouteB.phone,"Deberia preguntar a <harasser, Pablo, Lucía> si sigue <harasser, enfadado, enfadada> por lo del otro dia.",lstm,msg2,estas enfadada,"Oyeee, tas enfadao? :(",0.4155673086643219,0.52,0.10443269133567812
Scene6LunchRouteB.phone,"Deberia preguntar a <harasser, Pablo, Lucía> si sigue <harasser, enfadado, enfadada> por lo del otro dia.",lstm,msg2,sigues enfadada,"Hola, Pablo, ¿sigues enfadada conmigo?",0.4155673086643219,0.52,0.10443269133567812
